price,number_of_rooms,address,canton,property_type,floor,year_category
"CHF 1,800,000.–",6.5 rooms,1844 Villeneuve VD,vaud,Apartment,eg,0-1919
"CHF 1,980,000.–",5.5 rooms,1820 Montreux,vaud,Apartment,eg,0-1919
"CHF 488,000.–",3.5 rooms,1882 Gryon,vaud,Apartment,eg,0-1919
"CHF 1,755,000.–",7 rooms,1820 Montreux,vaud,Apartment,eg,0-1919
"CHF 650,000.–",2.5 rooms,1815 Clarens,vaud,Apartment,eg,0-1919
"CHF 1,490,000.–",4.5 rooms,1260 Nyon,vaud,Apartment,eg,0-1919
"CHF 795,000.–",3.5 rooms,1071 Chexbres,vaud,Apartment,eg,0-1919
"CHF 2,300,000.–",8.5 rooms,1143 Apples,vaud,Apartment,eg,0-1919
"CHF 5,900,000.–",6.5 rooms,1820 Montreux,vaud,Apartment,eg,0-1919
"CHF 825,000.–",4.5 rooms,1377 Oulens-sous-Echallens,vaud,Apartment,eg,0-1919
"CHF 720,000.–",3.5 rooms,1112 Echichens,vaud,Apartment,eg,0-1919
"CHF 330,000.–",3.5 rooms,1659 Flendruz,vaud,Apartment,eg,0-1919
"CHF 1,130,000.–",3.5 rooms,1802 Corseaux,vaud,Apartment,eg,1919-1945
"CHF 1,130,000.–",3.5 rooms,1802 Corseaux,vaud,Apartment,eg,1919-1945
"CHF 195,000.–",2 rooms,1885 Chesières,vaud,Apartment,eg,1919-1945
"CHF 393,000.–",3.5 rooms,1820 Veytaux,vaud,Apartment,eg,1919-1945
"CHF 850,000.–",5.5 rooms,"Les Diablotins, 1865 Les Diablerets",vaud,Apartment,eg,1946-1960
"CHF 945,000.–",4.5 rooms,"Les Diablotins, 1865 Les Diablerets",vaud,Apartment,eg,1946-1960
"CHF 945,000.–",4.5 rooms,"Les Diablotins, 1865 Les Diablerets",vaud,Apartment,eg,1946-1960
"CHF 2,591,550.–",4.5 rooms,"Chemin de Burquenet 27, 1095 Lutry",vaud,Apartment,eg,1961-1970
"CHF 1,980,210.–",5.5 rooms,"Epalinges, 1066 Epalinges",vaud,Apartment,eg,1961-1970
"CHF 397,370.–",3.5 rooms,1882 Gryon,vaud,Apartment,eg,1961-1970
"CHF 1,448,610.–",4 rooms,1009 Pully,vaud,Apartment,eg,1961-1970
"CHF 591,400.–",2 rooms,1007 Lausanne,vaud,Apartment,eg,1961-1970
"CHF 1,847,310.–",3.5 rooms,1817 Brent,vaud,Apartment,eg,1961-1970
"CHF 530,270.–",3.5 rooms,"Chemin du Pierrier 5, 1815 Clarens",vaud,Apartment,eg,1961-1970
"CHF 1,647,960.–",3.5 rooms,1052 Le Mont-sur-Lausanne,vaud,Apartment,eg,1961-1970
"CHF 425,280.–",2 rooms,1815 Clarens,vaud,Apartment,eg,1961-1970
"CHF 917,010.–",4.5 rooms,1072 Forel (Lavaux),vaud,Apartment,eg,1961-1970
"CHF 1,740,990.–",5.5 rooms,1072 Forel (Lavaux),vaud,Apartment,eg,1961-1970
"CHF 1,063,200.–",4.5 rooms,1041 Poliez-Pittet,vaud,Apartment,eg,1961-1970
"CHF 730,950.–",4.5 rooms,1033 Cheseaux-sur-Lausanne,vaud,Apartment,eg,1961-1970
"CHF 1,050,000.–",6.5 rooms,1854 Leysin,vaud,Apartment,eg,1971-1980
"CHF 695,000.–",3 rooms,1885 Chesières,vaud,Apartment,eg,1971-1980
"CHF 740,000.–",3.5 rooms,1807 Blonay,vaud,Apartment,eg,1971-1980
"CHF 655,000.–",4 rooms,1885 Chesières,vaud,Apartment,eg,1971-1980
"CHF 1,810,000.–",4.5 rooms,1815 Clarens,vaud,Apartment,eg,1971-1980
"CHF 488,000.–",3.5 rooms,1882 Gryon,vaud,Apartment,eg,1971-1980
"CHF 1,810,000.–",4.5 rooms,1820 Montreux,vaud,Apartment,eg,1971-1980
"CHF 1,250,000.–",4.5 rooms,1820 Montreux,vaud,Apartment,eg,1971-1980
"CHF 630,000.–",2 rooms,1820 Montreux,vaud,Apartment,eg,1971-1980
"CHF 895,000.–",4.5 rooms,1807 Blonay,vaud,Apartment,eg,1971-1980
"CHF 310,000.–",2 rooms,1882 Gryon,vaud,Apartment,eg,1971-1980
"CHF 1,200,000.–",5 rooms,1009 Pully,vaud,Apartment,eg,1971-1980
"CHF 900,000.–",5 rooms,1009 Pully,vaud,Apartment,eg,1971-1980
"CHF 1,810,000.–",4.5 rooms,1820 Montreux,vaud,Apartment,eg,1971-1980
"CHF 990,000.–",3.5 rooms,1802 Corseaux,vaud,Apartment,eg,1971-1980
"CHF 890,000.–",3.5 rooms,"Les Vergers-de-la-Gottaz 11, 1110 Morges",vaud,Apartment,eg,1981-1990
"CHF 1,580,000.–",3.5 rooms,1009 Pully,vaud,Apartment,eg,1981-1990
"CHF 895,000.–",3.5 rooms,1820 Territet,vaud,Apartment,eg,1981-1990
"CHF 1,180,000.–",4.5 rooms,1820 Territet,vaud,Apartment,eg,1981-1990
"CHF 1,290,000.–",6.5 rooms,1885 Chesières,vaud,Apartment,eg,1981-1990
"CHF 2,240,000.–",4.5 rooms,1009 Pully,vaud,Apartment,eg,1981-1990
"CHF 460,000.–",4.5 rooms,1892 Lavey-Village,vaud,Apartment,eg,1981-1990
"CHF 360,000.–",3.5 rooms,"Ruelle des Friques 1, 1584 Villars-le-Grand",vaud,Apartment,eg,1981-1990
"CHF 345,000.–",2.5 rooms,1880 Bex,vaud,Apartment,eg,1981-1990
"CHF 845,000.–",3.5 rooms,1807 Blonay,vaud,Apartment,eg,1981-1990
"CHF 1,115,000.–",5.5 rooms,1820 Montreux,vaud,Apartment,eg,1981-1990
"CHF 680,000.–",3.5 rooms,1820 Montreux,vaud,Apartment,eg,1981-1990
"CHF 535,000.–",2 rooms,1092 Belmont-sur-Lausanne,vaud,Apartment,eg,1981-1990
"CHF 345,000.–",2.5 rooms,1880 Bex,vaud,Apartment,eg,1981-1990
"CHF 1,400,000.–",5.5 rooms,1820 Montreux,vaud,Apartment,eg,1981-1990
"CHF 180,000.–",3.5 rooms,"Chemin des Bosquets 3, 1450 Ste-Croix",vaud,Apartment,eg,1981-1990
"CHF 635,000.–",5.5 rooms,"Chemin des Bosquets 3, 1450 Ste-Croix",vaud,Apartment,eg,1981-1990
"CHF 265,000.–",2.5 rooms,1854 Leysin,vaud,Apartment,eg,1981-1990
"CHF 550,000.–",4.5 rooms,1854 Leysin,vaud,Apartment,eg,1981-1990
"CHF 1,140,000.–",5.5 rooms,1820 Montreux,vaud,Apartment,eg,1981-1990
"CHF 670,000.–",3.5 rooms,1040 Villars-le-Terroir,vaud,Apartment,eg,1981-1990
"CHF 345,000.–",2.5 rooms,1880 Bex,vaud,Apartment,eg,1981-1990
